cty,bii_crop,n_crop,bii_urban,n_urban,bii_past,n_past,bii_plant,n_plant,bii_natural_combined,n_natural,natfor,other,bii_natfor,bii_other,natfor_capped
NGA,0.5846418348502816,606850,0.2951514394168439,79317,0.6163374602233066,2766465,0.5762695023599391,729977,0.6811146342079917,451811,15099.072,4525.2258,0.6971913797368054,0.6274722417631249,False
NIC,0.6560445329371477,126733,0.3085144476564083,2304,0.6619988714846006,247799,0.6673341116698847,81450,0.7590833253106695,153311,4764.32,2073.796,0.7828240362774932,0.7045416326497439,False
NLD,0.4924264240319947,133705,0.2843255776498359,59507,0.5138363975008193,57422,0.4665340525984351,1445,0.4861285307349303,36968,42.302,1187.47,0.5380862316320125,0.4842776084688113,False
NOR,0.6644846877262764,563310,0.3398383858499205,5728,0.725117379578851,10595,0.632455504834494,1887,0.7938869173105332,3039877,12005.266,23323.624,0.8500028825488571,0.7650025942939714,False
NPL,0.5934707957595237,186531,0.2976055743567871,3102,0.762853061620264,103553,0.5938714144027086,163758,0.7395858257131787,392553,5829.92,4362.1116,0.7726548631086542,0.6953893767977888,False
NZL,0.6824244605128624,142193,0.3066579800531948,7712,0.6874741174569928,859681,0.6289131490389506,75,0.8370282576776091,750437,7847.554,6123.162,0.8753955748493691,0.7878560173644322,False
OAO,0.6844337592531659,7433,0.4474701579092952,243,0.81020962201227,81671,0.6885579435941773,1884,0.7426529515065171,17735,72.062,411.332,0.8117246223055294,0.7305521600749765,False
OBN,0.5805278158964957,438085,0.3639886081218719,39312,0.6252206381327101,200675,0.5719525693662602,131663,0.6349199290781491,424907,4034.282,3385.504,0.6652751393972888,0.5987476254575599,False
OIO,0.5566820137595988,7048,0.3241023274936846,784,0.5897735346501566,1299,0.5455920562659977,10538,0.5959037765025708,12405,78.134,132.978,0.6359626258631115,0.5723663632768003,False
OPO,0.7209440968970972,13698,0.3636237365311017,373,0.7007306738890738,14580,0.7260788220429899,4333,0.8236149813313742,83854,1286.27,1085.3999,0.8631156575597034,0.7768040918037331,False
OSA,0.5767421246121067,1146,0.2325183493164872,2981,0.5630942733462797,109,0.6160475047571319,2044,0.8566978821130533,24269,390.216,188.94,0.8855887399342942,0.7970298659408648,False
